cycle	finished_at	active_arr_pct	best_arr_pct	delta_arr_pct	p05_active_arr_pct	p05_best_arr_pct	frontier_active_arr_pct	frontier_best_arr_pct	action	reason
1	2026-03-09T18:44:10.604794+00:00	4100879.3810	4524545.3061	423665.9251	110640.7292	344418.5885	4100879.3810	4524545.3061	hold	median_pnl_delta_below_threshold:-9.1135<2.0000;replay_pnl_delta_below_threshold:-5.1969<1.0000;fill_lift_below_threshold:-7<0
2	2026-03-09T18:44:10.779602+00:00	4100879.3810	4524545.3061	423665.9251	110640.7292	344418.5885	4100879.3810	4524545.3061	hold	median_pnl_delta_below_threshold:-9.1135<2.0000;replay_pnl_delta_below_threshold:-5.1969<1.0000;fill_lift_below_threshold:-7<0
3	2026-03-09T18:44:10.960645+00:00	4100879.3810	4524545.3061	423665.9251	110640.7292	344418.5885	4100879.3810	4524545.3061	hold	median_pnl_delta_below_threshold:-9.1135<2.0000;replay_pnl_delta_below_threshold:-5.1969<1.0000;fill_lift_below_threshold:-7<0
4	2026-03-09T19:05:56.414929+00:00	4289378.5228	4486313.9411	196935.4183	98128.1657	-855.6435	4289378.5228	4524545.3061	hold	median_pnl_delta_below_threshold:-4.5952<2.0000;replay_pnl_delta_below_threshold:-4.6107<1.0000;fill_lift_below_threshold:-3<0
5	2026-03-09T19:05:59.596039+00:00	4289378.5228	4486313.9411	196935.4183	98128.1657	-855.6435	4289378.5228	4524545.3061	hold	median_pnl_delta_below_threshold:-4.5952<2.0000;replay_pnl_delta_below_threshold:-4.6107<1.0000;fill_lift_below_threshold:-3<0
6	2026-03-09T19:06:02.872433+00:00	4289378.5228	4486313.9411	196935.4183	98128.1657	-855.6435	4289378.5228	4524545.3061	hold	median_pnl_delta_below_threshold:-4.5952<2.0000;replay_pnl_delta_below_threshold:-4.6107<1.0000;fill_lift_below_threshold:-3<0
7	2026-03-09T19:15:09.503166+00:00	4658936.8619	4759977.5373	101040.6754	1718013.7994	1712572.9694	4658936.8619	4759977.5373	hold	median_pnl_delta_below_threshold:-5.3173<2.0000;replay_pnl_delta_below_threshold:-5.2042<1.0000;fill_lift_below_threshold:-3<0
8	2026-03-09T20:19:01.428370+00:00	4867744.3645	6155107.0126	1287362.6481	1968754.4998	3384585.8942	4867744.3645	6155107.0126	promote	promotion_thresholds_met
9	2026-03-09T20:44:44.451603+00:00	4870666.0238	6417309.0486	1546643.0248	2290980.4514	3656893.5459	4870666.0238	6417309.0486	promote	promotion_thresholds_met
10	2026-03-10T12:44:55.402965+00:00	3922437.7239	5900647.8130	1978210.0891	290074.4362	2071257.5848	4870666.0238	6417309.0486	promote	promotion_thresholds_met
11	2026-03-10T15:29:08.975048+00:00	0.0000	9625734.3372	9625734.3372	0.0000	2311433.6608	4870666.0238	9625734.3372	hold	median_pnl_delta_below_threshold:0.0000<2.0000
12	2026-03-10T15:40:22.225882+00:00	-721772.4257	2284868.7164	3006641.1421	-3571232.6111	538641.9333	4870666.0238	9625734.3372	promote	promotion_thresholds_met
13	2026-03-10T16:29:22.606038+00:00	-312655.6717	1726721.8799	2039377.5516	-2886315.1030	79145.3150	4870666.0238	9625734.3372	hold	probe_feedback_blocks_promotion
